Invoice_ID,Date,Product_Name,Category,Brand,Supplier,Quantity,Unit_Price,Discount,Revenue,Cost,Profit,Payment_Method,Customer_Type,Employee,Stock_Remaining,Month
INV00001,2025-10-31,Rice 5kg,Grocery,India Gate,Metro Distributors,2,450,24,876,693.9,182.1,UPI,New,Sneha,112,October
INV00002,2025-12-02,Bread,Bakery,Britannia,XYZ Traders,2,45,6,84,63.15,20.85,Cash,Regular,Sneha,146,December
INV00003,2025-06-11,Toothpaste,Personal Care,Colgate,Metro Distributors,1,110,9,101,74.72,26.28,UPI,Regular,Sneha,146,June
INV00004,2025-05-12,Toothpaste,Personal Care,Colgate,XYZ Traders,5,110,15,535,397.55,137.45,Cash,Regular,Ravi,56,May
INV00005,2025-10-17,Toothpaste,Personal Care,Colgate,ABC Suppliers,2,110,33,187,135.9,51.1,Card,New,Sneha,106,October
INV00006,2025-07-01,Rice 5kg,Grocery,India Gate,XYZ Traders,4,450,40,1760,1334.84,425.16,Cash,New,Priya,55,July
INV00007,2025-06-07,Biscuits,Snacks,Parle,XYZ Traders,5,30,19,131,96.0,35.0,UPI,Regular,Anil,72,June
INV00008,2025-09-15,Cooking Oil,Grocery,Fortune,Metro Distributors,2,180,29,331,226.91,104.09,UPI,New,Priya,145,September
INV00009,2025-01-22,Cooking Oil,Grocery,Fortune,Metro Distributors,4,180,28,692,494.12,197.88,UPI,New,Ravi,84,January
INV00010,2025-05-16,Cooking Oil,Grocery,Fortune,XYZ Traders,5,180,5,895,641.09,253.91,Cash,New,Anil,34,May
INV00011,2025-04-13,Sugar 1kg,Grocery,Madhur,Metro Distributors,4,55,16,204,141.5,62.5,UPI,Regular,Sneha,36,April
INV00012,2025-12-19,Shampoo,Personal Care,Clinic Plus,XYZ Traders,5,220,18,1082,844.43,237.57,Cash,New,Priya,136,December
INV00013,2025-07-17,Sugar 1kg,Grocery,Madhur,Metro Distributors,2,55,4,106,72.85,33.15,Card,Regular,Anil,33,July
INV00014,2025-01-10,Soft Drink,Beverages,Coca-Cola,Metro Distributors,1,45,31,14,10.79,3.21,Cash,New,Anil,94,January
INV00015,2025-05-16,Toothpaste,Personal Care,Colgate,Metro Distributors,3,110,11,319,232.13,86.87,UPI,New,Anil,149,May
INV00016,2025-10-19,Shampoo,Personal Care,Clinic Plus,Metro Distributors,3,220,14,646,479.54,166.46,Cash,New,Priya,30,October
INV00017,2025-01-09,Soft Drink,Beverages,Coca-Cola,Metro Distributors,5,45,19,206,142.14,63.86,UPI,New,Priya,134,January
INV00018,2025-06-11,Soft Drink,Beverages,Coca-Cola,XYZ Traders,3,45,1,134,92.92,41.08,Cash,Regular,Ravi,11,June
INV00019,2025-07-07,Rice 5kg,Grocery,India Gate,Fresh Foods,5,450,6,2244,1614.24,629.76,UPI,Regular,Ravi,135,July
INV00020,2025-01-04,Shampoo,Personal Care,Clinic Plus,XYZ Traders,4,220,14,866,685.42,180.58,Cash,New,Anil,20,January
INV00021,2025-01-02,Sugar 1kg,Grocery,Madhur,ABC Suppliers,1,55,16,39,30.98,8.02,Cash,New,Ravi,44,January
INV00022,2025-07-04,Shampoo,Personal Care,Clinic Plus,ABC Suppliers,4,220,19,861,634.39,226.61,Cash,New,Ravi,55,July
INV00023,2025-03-19,Shampoo,Personal Care,Clinic Plus,Metro Distributors,2,220,19,421,327.8,93.2,UPI,New,Sneha,20,March
INV00024,2025-02-05,Soap,Personal Care,Lux,Fresh Foods,3,40,30,90,62.73,27.27,Cash,Regular,Priya,5,February
INV00025,2025-02-21,Cooking Oil,Grocery,Fortune,XYZ Traders,3,180,13,527,384.49,142.51,UPI,New,Ravi,40,February
INV00026,2025-04-14,Biscuits,Snacks,Parle,Fresh Foods,4,30,1,119,88.28,30.72,Cash,New,Priya,27,April
INV00027,2025-03-27,Soap,Personal Care,Lux,Metro Distributors,1,40,33,7,5.26,1.74,UPI,New,Ravi,126,March
INV00028,2025-06-24,Toothpaste,Personal Care,Colgate,Metro Distributors,2,110,19,201,148.28,52.72,Cash,Regular,Sneha,16,June
INV00029,2025-11-16,Sugar 1kg,Grocery,Madhur,Metro Distributors,2,55,6,104,80.35,23.65,UPI,New,Anil,29,November
INV00030,2025-01-15,Bread,Bakery,Britannia,XYZ Traders,2,45,24,66,51.42,14.58,UPI,Regular,Sneha,102,January
